org,sesi,
40549,41735,#N/A
40592,41737,40592
40617,41895,40617
40621,42737,40621
40623,42899,40623
40624,42914,40624
40625,43275,40625
40628,43405,40628
40631,43408,40631
40635,43409,40635
40636,43836,40636
40637,43842,40637
40638,43846,40638
40641,43866,40641
40645,44411,40645
40647,44574,40647
40648,44579,40648
40651,44583,40651
40652,44584,40652
40653,44587,40653
40801,44701,40801
40833,44707,40833
40838,44836,40838
40839,44838,40839
40842,45162,40842
40850,45230,40850
40852,45233,40852
40857,45237,40857
40861,45238,40861
40863,46500,40863
40963,46598,40963
40965,46602,40965
40968,46607,40968
40969,46909,40969
40972,47070,40972
40976,47072,40976
40978,47077,40978
40980,48254,40980
40981,48255,40981
40982,53739,40982
40985,53871,40985
40989,53892,40989
40990,53910,40990
41078,54004,41078
41079,55180,41079
41087,55189,41087
41102,25625,41102
41111,30508,41111
41112,31673,41112
41115,40172,41115
41118,40511,41118
41322,6955,41322
41327,7175,41327
41329,7376,41329
41334,16051,41334
41337,16964,41337
41435,18177,41435
41549,19391,41549
41551,21529,41551
41558,21550,41558
41559,22415,41559
41561,24108,41561
41570,29690,41570
41719,11804,41719
41722,13314,41722
41725,14160,41725
41728,15608,41728
41735,17079,41735
41737,22016,41737
41895,22972,41895
41904,23258,41904
41907,23339,41907
41912,23382,41912
42137,24169,42137
42146,24430,42146
42395,24470,42395
42737,24486,42737
42739,24627,42739
42899,24638,42899
42913,24665,42913
42914,24951,42914
43261,25059,43261
43275,25180,43275
43400,25937,43400
43405,25942,43405
43408,25946,43408
43409,26558,43409
43412,26568,43412
43657,27047,43657
43819,27192,43819
43835,27415,43835
43836,27422,43836
43842,27435,43842
43846,28165,43846
43847,28170,43847
43849,28470,43849
43850,28482,43850
43866,28490,43866
43868,28495,43868
43886,28496,43886
44131,29179,44131
44411,29621,44411
44574,29632,44574
44579,29643,44579
44582,29660,44582
44583,29669,44583
44584,29701,44584
44587,29739,44587
44701,29910,44701
44707,29999,44707
44734,30000,#N/A
44836,30001,44836
44838,31179,44838
45162,33731,45162
45230,34886,45230
45233,34966,45233
45237,34968,45237
45238,34984,45238
46352,35082,46352
46472,35667,46472
46500,35949,46500
46583,35950,46583
46598,35951,46598
46602,35953,46602
46607,35954,46607
46909,37301,46909
47070,37949,47070
47072,38071,47072
47077,39104,47077
47285,39401,47285
47563,39904,47563
48254,40136,48254
48255,40156,48255
49690,40169,49690
51820,40648,51820
51823,40651,51823
51824,40652,51824
51825,40653,51825
51833,40839,51833
51835,43657,51835
51853,43850,51853
51988,46583,51988
52005,49690,52005
52009,51823,52009
52019,51824,52019
53431,51825,53431
53433,53431,53433
53435,54370,53435
53484,3182,53484
53491,NULL,53491
53729,NULL,53729
53739,NULL,53739
53871,NULL,53871
53892,NULL,53892
53910,NULL,53910
54004,NULL,54004
54282,NULL,54282
54366,NULL,54366
54370,NULL,54370
54516,NULL,54516
54532,NULL,54532
54554,NULL,54554
54742,NULL,54742
55180,NULL,55180
55189,NULL,55189
55488,NULL,55488
55494,NULL,55494
55657,NULL,55657
55952,NULL,55952
55982,NULL,55982
55984,NULL,55984
55995,NULL,55995
56135,NULL,56135
56191,NULL,56191
56195,NULL,56195
57337,62721,#N/A
57396,55657,57396
57482,55952,57482
57506,55982,57506
57653,55984,57653
57837,55995,57837
57840,56135,57840
58099,56191,58099
58105,56195,58105
58396,57396,58396
58398,57506,58398
58404,57653,58404
58470,57837,58470
58573,57840,58573
58596,58099,58596
58677,58105,58677
58681,58396,58681
58924,58398,58924
59014,58404,59014
59081,58573,59081
59862,58924,59862
59972,59014,59972
60802,59081,60802
62579,59862,#N/A
62721,59972,62721
62725,60802,62725
65303,67995,#N/A
65698,67996,#N/A
66825,67997,#N/A
67250,68001,#N/A
67995,68002,67995
67996,68003,67996
67997,68004,67997
68001,68006,68001
68002,68007,68002
68003,68011,68003
68004,68016,68004
68006,68017,68006
68007,68020,68007
68011,68022,68011
68016,68026,68016
68017,68031,68017
68020,68038,68020
68022,68039,68022
68026,68042,68026
68031,68045,68031
68038,68046,68038
68039,68047,68039
68042,68048,68042
68045,68050,68045
68046,68206,68046
68047,68208,68047
68048,68226,68048
68050,68227,68050
68206,68228,68206
68208,68229,68208
68226,68230,68226
68227,68231,68227
68228,68232,68228
68229,68233,68229
68230,68235,68230
68231,68236,68231
68232,68338,68232
68233,68340,68233
68235,68341,68235
68236,68342,68236
68338,68343,68338
68340,68344,68340
68341,68345,68341
68342,68346,68342
68343,68347,68343
68344,68348,68344
68345,68350,68345
68346,68351,68346
68347,68353,68347
68348,68354,68348
68350,68355,68350
68351,68356,68351
68353,68357,68353
68354,68359,68354
68355,68361,68355
68356,68363,68356
68357,68365,68357
68359,68367,68359
68361,68368,68361
68363,68369,68363
68365,68371,68365
68367,68372,68367
68368,68377,68368
68369,68378,68369
68371,68379,68371
68372,68380,68372
68377,68381,68377
68378,68382,68378
68379,68383,68379
68380,68384,68380
68381,68386,68381
68382,68388,68382
68383,68390,68383
68384,68392,68384
68386,68393,68386
68388,68394,68388
68390,68395,68390
68392,68466,68392
68393,68468,68393
68394,68469,68394
68395,68470,68395
68398,68471,68398
68399,68474,68399
68400,68475,68400
68401,68476,68401
68402,68811,68402
68404,68813,68404
68405,68814,68405
68406,68816,68406
68408,68817,68408
68409,68821,68409
