npk,sub_post,post,grp,sect,dept,dept_account,division,plant
72520,NULL,NULL,1-001-002-007-066,1-001-002-007,1-001-002,1-001-002,1-001,1
72521,NULL,NULL,1-001-002-008-045,1-001-002-008,1-001-002,1-001-002,1-001,1
72522,NULL,NULL,1-001-002-007-036,1-001-002-007,1-001-002,1-001-002,1-001,1
72523,NULL,NULL,1-001-002-008-044,1-001-002-008,1-001-002,1-001-002,1-001,1
72524,NULL,NULL,1-001-002-008-043,1-001-002-008,1-001-002,1-001-002,1-001,1
72525,NULL,NULL,1-001-002-008-043,1-001-002-008,1-001-002,1-001-002,1-001,1
72526,NULL,NULL,1-001-002-008-067,1-001-002-008,1-001-002,1-001-002,1-001,1
72527,NULL,NULL,1-001-002-008-042,1-001-002-008,1-001-002,1-001-002,1-001,1
72528,NULL,NULL,1-001-002-008-041,1-001-002-008,1-001-002,1-001-002,1-001,1
72529,NULL,NULL,1-001-002-008-041,1-001-002-008,1-001-002,1-001-002,1-001,1
72530,NULL,NULL,1-001-002-008-044,1-001-002-008,1-001-002,1-001-002,1-001,1
72531,NULL,NULL,1-001-002-008-043,1-001-002-008,1-001-002,1-001-002,1-001,1
72532,NULL,NULL,1-001-002-008-043,1-001-002-008,1-001-002,1-001-002,1-001,1
72533,NULL,NULL,1-001-002-008-067,1-001-002-008,1-001-002,1-001-002,1-001,1
72534,NULL,NULL,1-001-002-008-042,1-001-002-008,1-001-002,1-001-002,1-001,1
72535,NULL,NULL,1-001-002-008-043,1-001-002-008,1-001-002,1-001-002,1-001,1
72536,NULL,NULL,1-001-002-008-067,1-001-002-008,1-001-002,1-001-002,1-001,1
72537,NULL,NULL,1-001-002-008-067,1-001-002-008,1-001-002,1-001-002,1-001,1
72538,NULL,NULL,1-001-002-008-042,1-001-002-008,1-001-002,1-001-002,1-001,1
72722,NULL,NULL,1-001-002-005-021,1-001-002-005,1-001-002,1-001-001,1-001,1
72723,NULL,NULL,1-001-002-005-022,1-001-002-005,1-001-002,1-001-001,1-001,1
72724,NULL,NULL,1-001-002-005-026,1-001-002-005,1-001-002,1-001-001,1-001,1
72725,NULL,NULL,1-001-002-005-028,1-001-002-005,1-001-002,1-001-001,1-001,1
72726,NULL,NULL,1-001-002-004-019,1-001-002-004,1-001-002,1-001-001,1-001,1
72727,NULL,NULL,1-001-001-010-065,1-001-001-010,1-001-001,1-001-001,1-001,1
72728,NULL,NULL,1-001-002-003-016,1-001-002-003,1-001-002,1-001-001,1-001,1
72729,NULL,NULL,1-001-002-002-006,1-001-002-002,1-001-002,1-001-001,1-001,1
72730,NULL,NULL,1-001-002-005-024,1-001-002-005,1-001-002,1-001-001,1-001,1
72731,NULL,NULL,1-001-002-002-008,1-001-002-002,1-001-002,1-001-001,1-001,1
72732,NULL,NULL,1-001-002-005-024,1-001-002-005,1-001-002,1-001-001,1-001,1
72733,NULL,NULL,1-001-002-005-024,1-001-002-005,1-001-002,1-001-001,1-001,1
72734,NULL,NULL,1-001-002-005-024,1-001-002-005,1-001-002,1-001-001,1-001,1
72735,NULL,NULL,1-001-002-005-026,1-001-002-005,1-001-002,1-001-001,1-001,1
72736,NULL,NULL,1-001-002-005-029,1-001-002-005,1-001-002,1-001-001,1-001,1
72737,NULL,NULL,1-001-002-004-019,1-001-002-004,1-001-002,1-001-001,1-001,1
72738,NULL,NULL,1-001-002-005-022,1-001-002-005,1-001-002,1-001-001,1-001,1
72739,NULL,NULL,1-001-002-002-010,1-001-002-002,1-001-002,1-001-001,1-001,1
72740,NULL,NULL,1-001-002-007-066,1-001-002-007,1-001-002,1-001-002,1-001,1
72741,NULL,NULL,1-001-002-005-027,1-001-002-005,1-001-002,1-001-001,1-001,1
72742,NULL,NULL,1-001-002-005-027,1-001-002-005,1-001-002,1-001-001,1-001,1
72743,NULL,NULL,1-001-002-005-029,1-001-002-005,1-001-002,1-001-001,1-001,1
72744,NULL,NULL,1-001-002-006-033,1-001-002-006,1-001-002,1-001-001,1-001,1
72745,NULL,NULL,1-001-002-005-022,1-001-002-005,1-001-002,1-001-001,1-001,1
72746,NULL,NULL,1-001-002-005-021,1-001-002-005,1-001-002,1-001-001,1-001,1
72747,NULL,NULL,1-001-001-010-065,1-001-001-010,1-001-001,1-001-001,1-001,1
72748,NULL,NULL,1-001-002-002-009,1-001-002-002,1-001-002,1-001-001,1-001,1
72749,NULL,NULL,1-001-002-002-010,1-001-002-002,1-001-002,1-001-001,1-001,1
72750,NULL,NULL,1-001-002-002-010,1-001-002-002,1-001-002,1-001-001,1-001,1
72751,NULL,NULL,1-001-002-005-020,1-001-002-005,1-001-002,1-001-001,1-001,1
72752,NULL,NULL,1-001-002-002-006,1-001-002-002,1-001-002,1-001-001,1-001,1
72753,NULL,NULL,1-001-002-005-022,1-001-002-005,1-001-002,1-001-001,1-001,1
72754,NULL,NULL,1-001-001-010-065,1-001-001-010,1-001-001,1-001-001,1-001,1
72755,NULL,NULL,1-001-002-002-010,1-001-002-002,1-001-002,1-001-001,1-001,1
72756,NULL,NULL,1-001-002-002-008,1-001-002-002,1-001-002,1-001-001,1-001,1
72757,NULL,NULL,1-001-002-006-030,1-001-002-006,1-001-002,1-001-001,1-001,1
72758,NULL,NULL,1-001-002-005-029,1-001-002-005,1-001-002,1-001-001,1-001,1
72759,NULL,NULL,1-001-002-002-010,1-001-002-002,1-001-002,1-001-001,1-001,1
72760,NULL,NULL,1-001-001-009-050,1-001-001-009,1-001-001,1-001-001,1-001,1
72761,NULL,NULL,1-001-002-005-024,1-001-002-005,1-001-002,1-001-001,1-001,1
72762,NULL,NULL,1-001-002-005-027,1-001-002-005,1-001-002,1-001-001,1-001,1
72763,NULL,NULL,1-001-002-006-033,1-001-002-006,1-001-002,1-001-001,1-001,1
72764,NULL,NULL,1-001-002-002-010,1-001-002-002,1-001-002,1-001-001,1-001,1
72765,NULL,NULL,1-001-002-002-008,1-001-002-002,1-001-002,1-001-001,1-001,1
72766,NULL,NULL,1-001-002-005-020,1-001-002-005,1-001-002,1-001-001,1-001,1
72767,NULL,NULL,1-001-002-002-010,1-001-002-002,1-001-002,1-001-001,1-001,1
72768,NULL,NULL,1-001-002-002-006,1-001-002-002,1-001-002,1-001-001,1-001,1
72769,NULL,NULL,1-001-002-005-021,1-001-002-005,1-001-002,1-001-001,1-001,1
72770,NULL,NULL,1-001-002-006-034,1-001-002-006,1-001-002,1-001-001,1-001,1
72771,NULL,NULL,1-001-002-003-014,1-001-002-003,1-001-002,1-001-001,1-001,1
72772,NULL,NULL,1-001-002-005-028,1-001-002-005,1-001-002,1-001-001,1-001,1
72773,NULL,NULL,1-001-002-005-022,1-001-002-005,1-001-002,1-001-001,1-001,1
72774,NULL,NULL,1-001-002-002-008,1-001-002-002,1-001-002,1-001-001,1-001,1
72775,NULL,NULL,1-001-002-003-014,1-001-002-003,1-001-002,1-001-001,1-001,1
72776,NULL,NULL,1-001-002-005-023,1-001-002-005,1-001-002,1-001-001,1-001,1
72777,NULL,NULL,1-001-002-005-020,1-001-002-005,1-001-002,1-001-001,1-001,1
72778,NULL,NULL,1-001-002-005-027,1-001-002-005,1-001-002,1-001-001,1-001,1
72779,NULL,NULL,1-001-002-006-033,1-001-002-006,1-001-002,1-001-001,1-001,1
72780,NULL,NULL,1-001-002-005-029,1-001-002-005,1-001-002,1-001-001,1-001,1
72781,NULL,NULL,1-001-002-002-008,1-001-002-002,1-001-002,1-001-001,1-001,1
72782,NULL,NULL,1-001-002-003-015,1-001-002-003,1-001-002,1-001-001,1-001,1
72783,NULL,NULL,1-001-002-005-023,1-001-002-005,1-001-002,1-001-001,1-001,1
72784,NULL,NULL,1-001-002-005-026,1-001-002-005,1-001-002,1-001-001,1-001,1
72785,NULL,NULL,1-001-002-005-027,1-001-002-005,1-001-002,1-001-001,1-001,1
72786,NULL,NULL,1-001-002-006-033,1-001-002-006,1-001-002,1-001-001,1-001,1
72787,NULL,NULL,1-001-002-005-029,1-001-002-005,1-001-002,1-001-001,1-001,1
72788,NULL,NULL,1-001-002-006-034,1-001-002-006,1-001-002,1-001-001,1-001,1
72789,NULL,NULL,1-001-002-005-022,1-001-002-005,1-001-002,1-001-001,1-001,1
72790,NULL,NULL,1-001-001-010-065,1-001-001-010,1-001-001,1-001-001,1-001,1
72791,NULL,NULL,1-001-002-005-021,1-001-002-005,1-001-002,1-001-001,1-001,1
72792,NULL,NULL,1-001-002-005-023,1-001-002-005,1-001-002,1-001-001,1-001,1
